timestamp_ms,ax_g,ay_g,az_g,label
15254,-0.1225,-0.2292,0.9377,0
15264,-0.1176,-0.0952,0.8452,0
15274,-0.0744,0.0454,0.7322,0
15284,-0.0161,0.1303,0.6299,0
15294,0.0464,0.1801,0.6116,0
15304,0.1291,0.2367,0.6031,0
15314,0.2204,0.2577,0.605,0
15324,0.2463,0.2438,0.6939,0
15334,0.2494,0.185,0.8139,0
15344,0.2809,0.1054,0.8869,0
15354,0.3131,0.02,0.9682,0
15364,0.3502,-0.0659,1.0651,0
15374,0.3785,-0.1355,1.1356,0
15384,0.3861,-0.2177,1.1515,0
15394,0.351,-0.3197,1.1581,0
15404,0.2921,-0.4435,1.1498,0
15414,0.2555,-0.5665,1.0914,0
15424,0.2148,-0.6882,1.0304,0
15434,0.1423,-0.801,1.035,0
15444,0.0925,-0.8825,1.0487,0
15454,0.1196,-0.9033,0.9962,0
15464,0.1708,-0.8618,0.8798,0
15474,0.1496,-0.813,0.8296,0
15484,0.042,-0.7566,0.8784,0
15494,-0.0315,-0.6851,0.8925,0
15504,-0.0437,-0.5884,0.832,0
15514,-0.0513,-0.4862,0.7966,0
15524,-0.0359,-0.3732,0.8073,0
15534,0.0364,-0.2204,0.8349,0
15544,0.1189,-0.0837,0.8439,0
15554,0.1496,0.0039,0.8518,0
15564,0.1516,0.0298,0.8244,0
15574,0.1418,0.0098,0.7907,0
15584,0.133,-0.0437,0.7639,0
15594,0.1045,-0.1323,0.7846,0
15604,0.0852,-0.2472,0.7944,0
15614,0.0764,-0.3541,0.7976,0
15624,0.0718,-0.4505,0.8117,0
15634,0.0617,-0.5286,0.8547,0
15644,0.0866,-0.5701,0.902,0
15654,0.196,-0.5503,0.9216,0
15664,0.3702,-0.4693,0.9352,0
15674,0.5486,-0.3654,0.9482,0
15684,0.6712,-0.2882,0.9845,0
15694,0.7353,-0.2685,1.0199,0
15704,0.7724,-0.3002,1.0099,0
15714,0.779,-0.3878,0.9433,0
15724,0.7737,-0.4935,0.79,0
15734,0.709,-0.6297,0.6658,0
15744,0.5679,-0.7427,0.6526,0
15754,0.4754,-0.8015,0.6355,0
15764,0.5018,-0.7698,0.5198,0
15774,0.5259,-0.7014,0.4147,0
15784,0.4708,-0.6604,0.4198,0
15794,0.4027,-0.6221,0.483,0
15804,0.3561,-0.5928,0.5445,0
15814,0.3707,-0.5728,0.5701,0
15824,0.3954,-0.566,0.6419,0
15834,0.4317,-0.585,0.7451,0
15844,0.4769,-0.6133,0.8488,0
15854,0.5181,-0.6309,0.9638,0
15864,0.5533,-0.6367,1.0717,0
15874,0.5884,-0.6275,1.1551,0
15884,0.6253,-0.5957,1.2003,0
15894,0.6655,-0.5408,1.1998,0
15904,0.6438,-0.4886,1.1934,0
15914,0.5718,-0.4652,1.179,0
15924,0.4625,-0.4683,1.1476,0
15934,0.3646,-0.4903,1.0687,0
15944,0.2772,-0.5057,0.9665,0
15954,0.1765,-0.5259,0.915,0
15964,0.0898,-0.532,0.8786,0
15974,0.0576,-0.5081,0.8029,0
15984,0.043,-0.4559,0.7366,0
15994,0.0366,-0.3912,0.687,0
16004,0.0132,-0.3124,0.6926,0
16014,-0.0088,-0.2365,0.7444,0
16024,0.0232,-0.1621,0.7849,0
16034,0.1071,-0.0976,0.7866,0
16044,0.2074,-0.0549,0.7756,0
16054,0.2709,-0.0571,0.8061,0
16064,0.2602,-0.0981,0.9103,0
16074,0.2165,-0.1725,1.0194,0
16084,0.2031,-0.2348,1.0531,0
16094,0.2201,-0.2516,1.0294,0
